x,y,faa,height,inv_msk,inv_pad
-2207250.0,827750.0,5.127172778254718,1500,False,False
-2202250.0,827750.0,8.211897883878093,1500,False,False
-2122250.0,827750.0,-5.709144143586969,1500,False,False
-2072250.0,827750.0,-13.52860243419677,1500,False,False
-2067250.0,827750.0,-13.651285468036416,1500,False,False
-2027250.0,827750.0,-9.183891328715356,1500,False,False
-2022250.0,827750.0,-5.536004209646009,1500,False,False
-2007250.0,827750.0,23.10031067273157,1500,False,False
-1987250.0,827750.0,26.30817387875693,1500,False,False
-1982250.0,827750.0,25.05007501633653,1500,False,False
-1977250.0,827750.0,23.764091720748247,1500,False,False
-1967250.0,827750.0,4.778539975788632,1500,False,False
-1962250.0,827750.0,23.166645212337787,1500,False,False
-1957250.0,827750.0,46.73354730125874,1500,False,False
-1952250.0,827750.0,39.350837452424834,1500,False,False
-1937250.0,827750.0,-5.463907370063063,1500,False,False
-1932250.0,827750.0,-3.846866157247863,1500,False,False
-1852250.0,827750.0,22.515305484915388,1500,False,False
-1847250.0,827750.0,20.538709110998557,1500,False,False
-1822250.0,827750.0,-5.175037949352759,1500,False,False
-1817250.0,827750.0,-3.5958303234333124,1500,False,False
-2207250.0,822750.0,6.694693575096386,1500,False,False
-2202250.0,822750.0,12.108878542065913,1500,False,False
-2197250.0,822750.0,15.174208609129538,1500,False,False
-2192250.0,822750.0,11.791305199503336,1500,False,False
-2122250.0,822750.0,-6.858605089893652,1500,False,False
-2117250.0,822750.0,-10.67113497816171,1500,False,False
-2072250.0,822750.0,-17.602523127717145,1500,False,False
-2067250.0,822750.0,-17.232211616851018,1500,False,False
-2062250.0,822750.0,-10.906326347573536,1500,False,False
-2057250.0,822750.0,-3.966958818929755,1500,False,False
-2027250.0,822750.0,-13.492615921772137,1500,False,False
-2022250.0,822750.0,-8.589452307036696,1500,False,False
-2007250.0,822750.0,9.427799830656316,1500,False,False
-2002250.0,822750.0,-10.49621901772076,1500,False,False
-1987250.0,822750.0,35.38476276855372,1500,False,False
-1982250.0,822750.0,31.32189666727677,1500,False,False
-1977250.0,822750.0,35.00161293988337,1500,False,False
-1972250.0,822750.0,37.4510687756012,1500,False,False
-1967250.0,822750.0,6.199424618563642,1500,False,False
-1962250.0,822750.0,7.950736830025729,1500,False,False
-1957250.0,822750.0,38.28765604916322,1500,False,False
-1952250.0,822750.0,38.59764225275016,1500,False,False
-1947250.0,822750.0,7.557734747392349,1500,False,False
-1942250.0,822750.0,-12.441025881137332,1500,False,False
-1937250.0,822750.0,-17.018057519858353,1500,False,False
-1932250.0,822750.0,-11.841718361066484,1500,False,False
-1927250.0,822750.0,14.002495315011569,1500,False,False
-1922250.0,822750.0,39.68917201520063,1500,False,False
-1917250.0,822750.0,32.40584779525121,1500,False,False
-1912250.0,822750.0,12.459060264221986,1500,False,False
-1852250.0,822750.0,30.24904780291823,1500,False,False
-1847250.0,822750.0,26.30567516875401,1500,False,False
-1842250.0,822750.0,26.11005136843005,1500,False,False
-1837250.0,822750.0,18.70516421148941,1500,False,False
-1832250.0,822750.0,5.923689450038919,1500,False,False
-1827250.0,822750.0,-2.4043865143540777,1500,False,False
-1822250.0,822750.0,-6.48578897117084,1500,False,False
-1817250.0,822750.0,-5.344278766696591,1500,False,False
-1812250.0,822750.0,-1.4128735564616142,1500,False,False
