,h,r,c0,s
exp,81777.37455218328,0.7799468685474495,0.0,
gauss,52697.07532884853,0.740239921512818,0.0,
sph,62892.37188595101,0.752825407870185,0.0,
matern,67921.90677153108,0.7799468685474495,0.9725032522032148,0.0
