x,y,faa,height,msk,inv_msk,inv_pad
-1483500.0,-701500.0,5.115509966950884,1200,False,0.0,False
-1481500.0,-701500.0,0.8320419862956734,1200,False,0.0,False
-1479500.0,-701500.0,-1.5130600156232503,1200,False,0.0,False
-1477500.0,-701500.0,-2.5615097146322445,1200,False,0.0,False
-1475500.0,-701500.0,-2.072318385412497,1200,False,0.0,False
-1473500.0,-701500.0,-1.5339018114835354,1200,False,0.0,False
-1599500.0,-699500.0,10.921213770103682,1200,False,0.0,True
-1597500.0,-699500.0,15.836481420246065,1200,False,0.0,True
-1595500.0,-699500.0,21.404343745083853,1200,False,0.0,True
-1593500.0,-699500.0,26.258046748463013,1200,False,0.0,True
-1591500.0,-699500.0,28.774136406665118,1200,False,0.0,True
-1589500.0,-699500.0,29.708170826960902,1200,False,0.0,True
-1587500.0,-699500.0,29.78788434653913,1200,False,0.0,True
-1585500.0,-699500.0,29.994773338946892,1200,False,0.0,True
-1583500.0,-699500.0,31.041596865510602,1200,False,0.0,True
-1581500.0,-699500.0,31.057349967097313,1200,False,0.0,True
-1579500.0,-699500.0,27.4569835363979,1200,False,0.0,True
-1577500.0,-699500.0,20.92605924017438,1200,False,0.0,True
-1575500.0,-699500.0,12.935045418053456,1200,False,0.0,True
-1573500.0,-699500.0,6.65840025201584,1200,False,0.0,True
-1571500.0,-699500.0,4.0760766158603845,1200,False,0.0,True
-1569500.0,-699500.0,6.812617321064046,1200,False,0.0,True
-1567500.0,-699500.0,11.808206154952632,1200,False,0.0,True
-1565500.0,-699500.0,15.552097728379588,1200,False,0.0,True
-1563500.0,-699500.0,17.016598239462184,1200,False,0.0,True
-1559500.0,-699500.0,20.265439343617782,1200,False,0.0,False
-1557500.0,-699500.0,24.663977155597674,1200,False,0.0,False
-1555500.0,-699500.0,31.08687139102188,1200,False,0.0,False
-1553500.0,-699500.0,33.71618048670889,1200,False,0.0,False
-1551500.0,-699500.0,32.316527696828764,1200,False,0.0,False
-1545500.0,-699500.0,32.691274357682225,1200,False,0.0,False
-1543500.0,-699500.0,34.804266404082,1200,False,0.0,False
-1541500.0,-699500.0,34.980079164745526,1200,False,0.0,False
-1539500.0,-699500.0,31.303919406632033,1200,False,0.0,False
-1535500.0,-699500.0,27.34780347388328,1200,False,0.0,False
-1533500.0,-699500.0,28.72564454813175,1200,False,0.0,False
-1531500.0,-699500.0,30.317683078096223,1200,False,0.0,False
-1529500.0,-699500.0,28.894920080364624,1200,False,0.0,False
-1527500.0,-699500.0,26.552929809271397,1200,False,0.0,False
-1525500.0,-699500.0,26.155535441076726,1200,False,0.0,False
-1523500.0,-699500.0,26.46393371262021,1200,False,0.0,False
-1521500.0,-699500.0,23.487441356095694,1200,False,0.0,False
-1519500.0,-699500.0,17.551461479881326,1200,False,0.0,False
-1517500.0,-699500.0,14.24907411459481,1200,False,0.0,False
-1515500.0,-699500.0,12.509638302174935,1200,False,0.0,False
-1513500.0,-699500.0,11.410100927972886,1200,False,0.0,False
-1509500.0,-699500.0,6.901897237727582,1200,False,0.0,False
-1507500.0,-699500.0,4.263745562604598,1200,False,0.0,False
-1505500.0,-699500.0,3.8302404976362863,1200,False,0.0,False
-1503500.0,-699500.0,3.1590705807622337,1200,False,0.0,False
-1501500.0,-699500.0,1.1584974326813473,1200,False,0.0,False
-1499500.0,-699500.0,-0.7449619747432888,1200,False,0.0,False
-1497500.0,-699500.0,-1.5601526730996094,1200,False,0.0,False
-1495500.0,-699500.0,0.03247997203632992,1200,False,0.0,False
-1493500.0,-699500.0,3.3276659901369676,1200,False,0.0,False
-1491500.0,-699500.0,6.005143749424855,1200,False,0.0,False
-1489500.0,-699500.0,7.112087969119642,1200,False,0.0,False
-1487500.0,-699500.0,8.657840475687061,1200,False,0.0,False
-1485500.0,-699500.0,9.011839145263082,1200,False,0.0,False
-1483500.0,-699500.0,3.342869980696302,1200,False,0.0,False
-1481500.0,-699500.0,-0.9400661535067257,1200,False,0.0,False
-1479500.0,-699500.0,-0.9076713934095056,1200,False,0.0,False
-1477500.0,-699500.0,0.09103617347614709,1200,False,0.0,False
-1475500.0,-699500.0,1.5992839207806089,1200,False,0.0,False
-1473500.0,-699500.0,1.663616681696414,1200,False,0.0,False
-1601500.0,-697500.0,6.435025269576623,1200,False,0.0,True
-1599500.0,-697500.0,9.591940684680107,1200,False,0.0,True
-1597500.0,-697500.0,12.810689962483359,1200,False,0.0,True
-1595500.0,-697500.0,16.052437094235778,1200,False,0.0,True
-1593500.0,-697500.0,19.577688188658005,1200,False,0.0,True
-1591500.0,-697500.0,22.1484321625801,1200,False,0.0,True
-1589500.0,-697500.0,23.524696194418716,1200,False,0.0,True
-1587500.0,-697500.0,24.179953462114426,1200,False,0.0,True
-1585500.0,-697500.0,24.779085162413114,1200,False,0.0,True
-1583500.0,-697500.0,25.55832174723322,1200,False,0.0,True
-1581500.0,-697500.0,24.324680013559593,1200,False,0.0,True
-1579500.0,-697500.0,17.927318917069837,1200,False,0.0,True
-1577500.0,-697500.0,8.292708041965577,1200,False,0.0,True
-1575500.0,-697500.0,-0.7575515456884264,1200,False,0.0,True
-1573500.0,-697500.0,-5.52413621001799,1200,False,0.0,True
-1571500.0,-697500.0,-1.4691479080281762,1200,False,0.0,True
-1569500.0,-697500.0,7.8570220593328814,1200,False,0.0,True
-1567500.0,-697500.0,15.581601297790817,1200,False,0.0,True
-1565500.0,-697500.0,19.17640278355744,1200,False,0.0,True
-1563500.0,-697500.0,19.225501614361054,1200,False,0.0,True
-1561500.0,-697500.0,19.538175695472653,1200,False,0.0,True
-1559500.0,-697500.0,20.87302813201934,1200,False,0.0,True
-1557500.0,-697500.0,24.772078407389817,1200,False,0.0,True
-1555500.0,-697500.0,31.868053365273354,1200,False,0.0,False
-1553500.0,-697500.0,35.969454450814595,1200,False,0.0,False
-1551500.0,-697500.0,36.062804167903295,1200,False,0.0,False
-1547500.0,-697500.0,34.42474472663536,1200,False,0.0,False
-1545500.0,-697500.0,35.6256981065331,1200,False,0.0,False
-1543500.0,-697500.0,36.18710549657015,1200,False,0.0,False
-1541500.0,-697500.0,34.14618578531967,1200,False,0.0,False
-1539500.0,-697500.0,30.914183688540444,1200,False,0.0,False
-1535500.0,-697500.0,28.317040718686282,1200,False,0.0,False
-1533500.0,-697500.0,29.525117609635032,1200,False,0.0,False
-1531500.0,-697500.0,30.09833132314831,1200,False,0.0,False
-1529500.0,-697500.0,28.534102066579003,1200,False,0.0,False
-1527500.0,-697500.0,27.366494036476894,1200,False,0.0,False
-1525500.0,-697500.0,28.781539517637228,1200,False,0.0,False
-1523500.0,-697500.0,30.72901889260791,1200,False,0.0,False
