x,y,faa,height,inv_msk,bouguer,inv_pad
-1982250.0,170250.0,-11.000298101713922,4000,False,18.717455494216374,False
-1978250.0,170250.0,-11.12440023262113,4000,False,18.20759009548987,False
-1958250.0,170250.0,-10.203691204530914,4000,False,17.14189829210028,False
-1954250.0,170250.0,-9.980930161927544,4000,False,17.475667268981688,False
-1950250.0,170250.0,-9.84079397637189,4000,False,17.914098284634697,False
-1946250.0,170250.0,-9.882839620695853,4000,False,18.312639555140436,False
-1910250.0,170250.0,-13.219583068370309,4000,False,21.087377734688584,False
-1906250.0,170250.0,-14.350712307405768,4000,False,20.898957041522305,False
-1902250.0,170250.0,-15.25773496414363,4000,False,21.00055057065324,False
-1874250.0,170250.0,-18.48242943071517,4000,False,24.36471077064018,False
-1870250.0,170250.0,-20.462062959004204,4000,False,22.869431931304124,False
-1866250.0,170250.0,-19.631825843988295,4000,False,24.03933493943559,False
-1790250.0,170250.0,-2.998237740723952,4000,False,15.255424260593738,False
-1786250.0,170250.0,-2.0485087170817096,4000,False,15.015803631483276,False
-1782250.0,170250.0,-0.5554196919533294,4000,False,14.158669121110982,False
-1778250.0,170250.0,0.4307121492459254,4000,False,13.203113680318111,False
-1770250.0,170250.0,-0.5959279020978528,4000,False,15.060636772139128,False
-1766250.0,170250.0,-0.7293784548277741,4000,False,16.3845668019079,False
-1762250.0,170250.0,-0.9342357270302654,4000,False,15.60438975636186,False
-1758250.0,170250.0,-0.9957405366915901,4000,False,14.31450273457918,False
-1750250.0,170250.0,1.5148567359996927,4000,False,10.642332760911087,False
-1746250.0,170250.0,3.4252940485585963,4000,False,7.806323791182311,False
-1742250.0,170250.0,6.452342620815166,4000,False,5.316991103021629,False
-1738250.0,170250.0,9.62166737779645,4000,False,3.9863437549150618,False
-1734250.0,170250.0,11.230963872371921,4000,False,3.5919169662002917,False
-1730250.0,170250.0,9.882804492061545,4000,False,4.003490429838362,False
-1726250.0,170250.0,6.7075221373294545,4000,False,8.8935839355261,False
-1682250.0,170250.0,8.391843417596876,4000,False,-2.445349094461875,False
-1678250.0,170250.0,11.557793627103685,4000,False,0.10877522178079957,False
-1674250.0,170250.0,13.693797198894224,4000,False,2.03162865392553,False
-1670250.0,170250.0,14.88059093444873,4000,False,4.471529054186028,False
-1666250.0,170250.0,13.791381173888336,4000,False,6.187620130869768,False
-1626250.0,170250.0,0.06666305155943594,4000,False,17.63263580856005,False
-1622250.0,170250.0,-1.1083249658847247,4000,False,19.434680853100815,False
-1618250.0,170250.0,-3.5247851717299317,4000,False,21.106262643489867,False
-1614250.0,170250.0,-5.266144668851191,4000,False,23.091463586431175,False
-1982250.0,166250.0,-11.817830979566198,4000,False,19.32926697680375,False
-1978250.0,166250.0,-11.91385424776053,4000,False,19.057280956582183,False
-1954250.0,166250.0,-10.832227056557501,4000,False,19.353438600919084,False
-1950250.0,166250.0,-10.686269857225051,4000,False,19.79874238193954,False
-1946250.0,166250.0,-10.52406065685474,4000,False,20.44915828535305,False
-1906250.0,166250.0,-15.610173275101877,4000,False,22.058105396687317,False
-1902250.0,166250.0,-17.163028069627323,4000,False,21.362147876373392,False
-1898250.0,166250.0,-17.590615724606447,4000,False,21.8183488830454,False
-1870250.0,166250.0,-21.093323611920088,4000,False,22.38162356093579,False
-1866250.0,166250.0,-21.807626792533622,4000,False,21.382286930955505,False
-1862250.0,166250.0,-20.463949169487304,4000,False,22.192979895557098,False
-1790250.0,166250.0,-3.0174927058414815,4000,False,13.058377798773842,False
-1786250.0,166250.0,-1.8195340853887887,4000,False,14.637171032851406,False
-1782250.0,166250.0,-0.2728016084429816,4000,False,14.4027107758074,False
-1778250.0,166250.0,0.7153475096443517,4000,False,13.19492630926546,False
-1774250.0,166250.0,0.5380581815864846,4000,False,13.36534967475478,False
-1770250.0,166250.0,0.2715027603134398,4000,False,14.98578588885603,False
-1766250.0,166250.0,0.7932009366435173,4000,False,16.012606117834064,False
-1762250.0,166250.0,1.177594247729452,4000,False,15.502345208153185,False
-1758250.0,166250.0,1.3950477194980382,4000,False,14.435804276845602,False
-1754250.0,166250.0,2.127566387430928,4000,False,12.872563224998709,False
-1750250.0,166250.0,2.791953441768444,4000,False,11.045640885878477,False
-1746250.0,166250.0,4.2302306294643595,4000,False,8.942624039565171,False
-1742250.0,166250.0,6.944612540274019,4000,False,6.737941958636628,False
-1738250.0,166250.0,10.350838406232734,4000,False,5.057903251853809,False
-1734250.0,166250.0,13.029673644289538,4000,False,4.4806844575264115,False
-1730250.0,166250.0,13.004845950129258,4000,False,4.650086469358827,False
-1726250.0,166250.0,9.052906646599896,4000,False,6.579392596548338,False
-1722250.0,166250.0,3.4997843252596352,4000,False,10.845356094880435,False
-1718250.0,166250.0,-2.835602572607704,4000,False,14.708492456958226,False
-1682250.0,166250.0,8.155676570357086,4000,False,-1.1679819803766804,False
-1678250.0,166250.0,11.352972701192883,4000,False,1.2322334892532059,False
-1674250.0,166250.0,13.077673313512948,4000,False,2.910293096077316,False
-1670250.0,166250.0,14.607826850353499,4000,False,5.48859419810117,False
-1666250.0,166250.0,14.56482894766016,4000,False,7.8280103086323285,False
-1662250.0,166250.0,13.021711934692918,4000,False,8.975086491233576,False
-1658250.0,166250.0,11.320621143333703,4000,False,10.119080199818258,False
-1654250.0,166250.0,9.68321147338923,4000,False,11.110497135898822,False
-1626250.0,166250.0,0.7308082116179359,4000,False,19.426035766304615,False
-1622250.0,166250.0,-0.13419375902114294,4000,False,20.967517584273114,False
-1618250.0,166250.0,-2.4028116443847427,4000,False,22.44250222702103,False
